x,y
59.8,576
59.9,492
60,386
60.1,348
60.2,332
60.3,348
60.4,360
60.5,368
60.6,366
60.7,360
60.8,354
60.9,388
61,396
61.1,464
61.2,596
61.3,760
61.4,646
61.5,532
61.6,418
61.7,380
61.8,448
61.9,478
62,486
62.1,448
62.2,402
62.3,372
62.4,338
62.5,338
62.6,348
62.7,370
62.8,346
62.9,336
63,380
63.1,322
63.2,402
63.3,400
63.4,442
63.5,352
63.6,386
63.7,344
63.8,370
63.9,382
64,342
64.1,332
64.2,352
64.3,354
64.4,396
64.5,402
64.6,360
64.7,370
64.8,384
64.9,398
65,470
65.1,380
65.2,384
65.3,370
65.4,352
65.5,370
65.6,322
65.7,362
65.8,366
65.9,358
66,334
66.1,318
66.2,342
66.3,356
66.4,362
66.5,314
66.6,314
66.7,350
66.8,348
66.9,348
67,354
67.1,306
67.2,370
67.3,368
67.4,340
67.5,388
67.6,436
67.7,396
67.8,408
67.9,380
68,348
68.1,356
68.2,360
68.3,352
68.4,342
68.5,400
68.6,482
68.7,420
68.8,440
68.9,428
69,428
69.1,400
69.2,388
69.3,416
69.4,412
69.5,414
69.6,460
69.7,388
69.8,402
69.9,368
70,344
70.1,348
70.2,384
70.3,364
70.4,380
70.5,340
70.6,320
70.7,330
70.8,344
70.9,298
71,310
71.1,348
71.2,368
71.3,304
71.4,342
71.5,374
71.6,392
71.7,408
71.8,430
71.9,402
72,358
72.1,368
72.2,348
72.3,322
72.4,350
72.5,378
72.6,332
72.7,396
72.8,442
72.9,464
73,428
73.1,340
73.2,332
73.3,344
73.4,362
73.5,338
73.6,334
73.7,318
73.8,346
73.9,356
74,362
74.1,332
74.2,342
74.3,398
74.4,386
74.5,344
74.6,348
74.7,332
74.8,356
74.9,358
75,364
75.1,360
75.2,338
75.3,324
75.4,358
75.5,308
75.6,366
75.7,316
75.8,324
75.9,326
76,364
76.1,330
76.2,350
76.3,340
76.4,358
76.5,310
76.6,322
76.7,372
76.8,396
76.9,370
77,400
77.1,382
77.2,396
77.3,418
77.4,466
77.5,442
77.6,422
77.7,388
77.8,416
77.9,342
78,368
78.1,342
78.2,330
78.3,360
78.4,350
78.5,344
78.6,376
78.7,374
78.8,376
78.9,336
79,372
79.1,334
79.2,350
79.3,328
79.4,350
79.5,324
79.6,360
79.7,332
79.8,352
79.9,364
80,368
